WARNING | 2021-11-30 16:00:34,708 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_acpi_power_state_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sensor_reading_and_event_status_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sdr_repository_time_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sdr_repository_time_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_warm_reset_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sel_time_utc_offset_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_bt_interface_capabilities_rs
WARNING | 2021-11-30 16:00:34,712 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_interface_capabilities_ssif_rs
WARNING | 2021-11-30 16:00:34,720 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-11-30 16:19:53,834 | root     | b'out of memory'
ERROR   | 2021-11-30 16:19:53,841 | root     | got an error while analyzing ipmi_open
ERROR   | 2021-11-30 16:19:59,743 | root     | b'out of memory'
ERROR   | 2021-11-30 16:19:59,747 | root     | got an error while analyzing cmdline_config_file_parse
ERROR   | 2021-11-30 16:20:42,168 | root     | b'out of memory'
ERROR   | 2021-11-30 16:20:42,174 | root     | got an error while analyzing init_common_cmd_args_user
ERROR   | 2021-11-30 16:21:35,809 | root     | b'out of memory'
ERROR   | 2021-11-30 16:21:36,084 | root     | got an error while analyzing init_common_cmd_args_operator
ERROR   | 2021-11-30 16:22:45,623 | root     | b'out of memory'
ERROR   | 2021-11-30 16:22:45,626 | root     | got an error while analyzing verify_common_cmd_args_outofband
ERROR   | 2021-11-30 16:22:47,080 | root     | b'out of memory'
ERROR   | 2021-11-30 16:22:47,080 | root     | got an error while analyzing verify_common_cmd_args
ERROR   | 2021-11-30 16:22:49,875 | root     | b'out of memory'
ERROR   | 2021-11-30 16:22:49,877 | root     | got an error while analyzing eliminate_nodes
ERROR   | 2021-11-30 16:23:20,121 | root     | b'out of memory'
ERROR   | 2021-11-30 16:23:20,622 | root     | got an error while analyzing check_kg_len
ERROR   | 2021-11-30 16:24:06,854 | root     | b'out of memory'
ERROR   | 2021-11-30 16:24:06,866 | root     | got an error while analyzing format_kg
ERROR   | 2021-11-30 16:28:34,428 | root     | b'out of memory'
ERROR   | 2021-11-30 16:28:34,428 | root     | got an error while analyzing cbuf_write_line
ERROR   | 2021-11-30 16:29:37,505 | root     | b'out of memory'
ERROR   | 2021-11-30 16:29:37,510 | root     | got an error while analyzing cbuf_write_from_fd
ERROR   | 2021-11-30 16:29:39,436 | root     | b'out of memory'
ERROR   | 2021-11-30 16:29:39,443 | root     | got an error while analyzing cbuf_copy
ERROR   | 2021-11-30 16:47:55,998 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:55,999 | root     | got an error while analyzing cbuf_get_fd
ERROR   | 2021-11-30 16:47:56,630 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:56,631 | root     | got an error while analyzing cbuf_get_mem
ERROR   | 2021-11-30 16:47:57,261 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:57,261 | root     | got an error while analyzing cbuf_put_fd
ERROR   | 2021-11-30 16:47:57,894 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:57,894 | root     | got an error while analyzing cbuf_put_mem
ERROR   | 2021-11-30 16:47:58,522 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:58,522 | root     | got an error while analyzing cbuf_copier
ERROR   | 2021-11-30 16:47:59,153 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:59,153 | root     | got an error while analyzing cbuf_dropper
ERROR   | 2021-11-30 16:47:59,786 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:59,787 | root     | got an error while analyzing cbuf_reader
ERROR   | 2021-11-30 16:48:00,414 | root     | b'out of memory'
ERROR   | 2021-11-30 16:48:00,414 | root     | got an error while analyzing cbuf_replayer
ERROR   | 2021-11-30 16:49:11,142 | root     | b'out of memory'
ERROR   | 2021-11-30 16:49:11,142 | root     | got an error while analyzing cbuf_grow
ERROR   | 2021-11-30 16:49:11,741 | root     | b'out of memory'
ERROR   | 2021-11-30 16:49:11,741 | root     | got an error while analyzing cbuf_shrink
ERROR   | 2021-11-30 16:58:14,337 | root     | b'out of memory'
ERROR   | 2021-11-30 16:58:14,337 | root     | got an error while analyzing hostrange_intersect
ERROR   | 2021-11-30 16:58:15,207 | root     | b'out of memory'
ERROR   | 2021-11-30 16:58:15,207 | root     | got an error while analyzing hostrange_hn_within
ERROR   | 2021-11-30 16:58:18,618 | root     | b'out of memory'
ERROR   | 2021-11-30 16:58:18,618 | root     | got an error while analyzing hostrange_numstr
ERROR   | 2021-11-30 16:58:20,345 | root     | b'out of memory'
ERROR   | 2021-11-30 16:58:20,345 | root     | got an error while analyzing hostlist_resize
ERROR   | 2021-11-30 17:00:16,835 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:16,835 | root     | got an error while analyzing hostlist_push_range
ERROR   | 2021-11-30 17:00:18,341 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:18,341 | root     | got an error while analyzing hostlist_insert_range
ERROR   | 2021-11-30 17:00:19,198 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:19,199 | root     | got an error while analyzing hostlist_delete_range
ERROR   | 2021-11-30 17:00:22,516 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:22,516 | root     | got an error while analyzing hostlist_copy
ERROR   | 2021-11-30 17:00:25,738 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:25,738 | root     | got an error while analyzing hostlist_pop
ERROR   | 2021-11-30 17:00:26,335 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:26,335 | root     | got an error while analyzing hostlist_shift_iterators
ERROR   | 2021-11-30 17:00:26,928 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:26,928 | root     | got an error while analyzing hostlist_shift
ERROR   | 2021-11-30 17:00:27,518 | root     | b'out of memory'
ERROR   | 2021-11-30 17:00:27,518 | root     | got an error while analyzing hostlist_pop_range
ERROR   | 2021-11-30 17:01:24,267 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:24,268 | root     | got an error while analyzing hostlist_delete
ERROR   | 2021-11-30 17:01:25,657 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:25,658 | root     | got an error while analyzing hostlist_nth
ERROR   | 2021-11-30 17:01:26,297 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:26,297 | root     | got an error while analyzing hostlist_delete_nth
ERROR   | 2021-11-30 17:01:26,927 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:26,927 | root     | got an error while analyzing hostlist_count
ERROR   | 2021-11-30 17:01:28,243 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:28,243 | root     | got an error while analyzing hostlist_sort
ERROR   | 2021-11-30 17:01:28,875 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:28,875 | root     | got an error while analyzing hostlist_collapse
ERROR   | 2021-11-30 17:01:29,501 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:29,501 | root     | got an error while analyzing hostlist_coalesce
ERROR   | 2021-11-30 17:01:30,127 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:30,127 | root     | got an error while analyzing hostlist_uniq
ERROR   | 2021-11-30 17:01:30,761 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:30,761 | root     | got an error while analyzing hostlist_deranged_string
ERROR   | 2021-11-30 17:01:31,395 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:31,395 | root     | got an error while analyzing hostlist_ranged_string
ERROR   | 2021-11-30 17:01:32,826 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:32,826 | root     | got an error while analyzing hostlist_iterator_create
ERROR   | 2021-11-30 17:01:33,454 | root     | b'out of memory'
ERROR   | 2021-11-30 17:01:33,454 | root     | got an error while analyzing hostset_iterator_create
ERROR   | 2021-11-30 17:05:31,090 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:31,091 | root     | got an error while analyzing hostlist_remove
ERROR   | 2021-11-30 17:05:35,562 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:35,562 | root     | got an error while analyzing hostset_create
ERROR   | 2021-11-30 17:05:37,082 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:37,083 | root     | got an error while analyzing hostset_copy
ERROR   | 2021-11-30 17:05:38,726 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:38,726 | root     | got an error while analyzing hostset_destroy
ERROR   | 2021-11-30 17:05:39,600 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:39,600 | root     | got an error while analyzing hostset_insert_range
ERROR   | 2021-11-30 17:05:41,239 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:41,240 | root     | got an error while analyzing hostset_insert
ERROR   | 2021-11-30 17:05:42,119 | root     | b'out of memory'
ERROR   | 2021-11-30 17:05:42,120 | root     | got an error while analyzing hostset_find_host
ERROR   | 2021-11-30 17:08:06,576 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:06,577 | root     | got an error while analyzing list_destroy
ERROR   | 2021-11-30 17:08:07,519 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:07,519 | root     | got an error while analyzing list_is_empty
ERROR   | 2021-11-30 17:08:08,431 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:08,431 | root     | got an error while analyzing list_count
ERROR   | 2021-11-30 17:08:09,350 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:09,350 | root     | got an error while analyzing list_append
ERROR   | 2021-11-30 17:09:17,745 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:17,745 | root     | got an error while analyzing list_sort
ERROR   | 2021-11-30 17:09:19,818 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:19,818 | root     | got an error while analyzing list_peek
ERROR   | 2021-11-30 17:09:20,720 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:20,720 | root     | got an error while analyzing list_enqueue
ERROR   | 2021-11-30 17:09:22,956 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:22,957 | root     | got an error while analyzing list_iterator_create
ERROR   | 2021-11-30 17:09:23,834 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:23,834 | root     | got an error while analyzing list_iterator_reset
ERROR   | 2021-11-30 17:09:24,730 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:24,731 | root     | got an error while analyzing list_iterator_destroy
ERROR   | 2021-11-30 17:09:25,631 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:25,631 | root     | got an error while analyzing list_next
ERROR   | 2021-11-30 17:09:26,531 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:26,531 | root     | got an error while analyzing list_insert
ERROR   | 2021-11-30 17:09:28,991 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:28,991 | root     | got an error while analyzing list_remove
ERROR   | 2021-11-30 17:15:36,868 | root     | b'out of memory'
ERROR   | 2021-11-30 17:15:36,868 | root     | got an error while analyzing list_node_destroy
ERROR   | 2021-11-30 17:15:41,425 | root     | b'out of memory'
ERROR   | 2021-11-30 17:15:41,425 | root     | got an error while analyzing list_alloc_aux
ERROR   | 2021-11-30 17:15:43,671 | root     | b'out of memory'
ERROR   | 2021-11-30 17:15:43,671 | root     | got an error while analyzing host_is_ipv6_with_port
ERROR   | 2021-11-30 17:18:41,235 | root     | b'out of memory'
ERROR   | 2021-11-30 17:18:41,235 | root     | got an error while analyzing parse_get_freeipmi_outofband_flags
ERROR   | 2021-11-30 17:18:41,845 | root     | b'out of memory'
ERROR   | 2021-11-30 17:18:41,845 | root     | got an error while analyzing parse_get_freeipmi_outofband_2_0_flags
ERROR   | 2021-11-30 17:18:42,457 | root     | b'out of memory'
ERROR   | 2021-11-30 17:18:42,458 | root     | got an error while analyzing parse_get_freeipmi_inband_flags
