WARNING | 2021-12-03 22:44:50,634 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
ERROR   | 2021-12-04 06:15:31,929 | root     | got an error while analyzing rw_yyparse
ERROR   | 2021-12-04 08:22:40,302 | root     | b'out of memory'
ERROR   | 2021-12-04 08:22:40,302 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-04 08:22:42,712 | root     | b'out of memory'
ERROR   | 2021-12-04 08:22:42,712 | root     | got an error while analyzing hol_set_group
ERROR   | 2021-12-04 08:22:48,559 | root     | b'out of memory'
ERROR   | 2021-12-04 08:22:48,559 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-04 08:22:50,583 | root     | b'out of memory'
ERROR   | 2021-12-04 08:22:50,583 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-04 08:22:55,348 | root     | b'out of memory'
ERROR   | 2021-12-04 08:22:55,348 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-04 08:22:57,432 | root     | list index out of range
ERROR   | 2021-12-04 08:22:57,432 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-04 08:23:02,371 | root     | list index out of range
ERROR   | 2021-12-04 08:23:02,372 | root     | got an error while analyzing hol_sort
ERROR   | 2021-12-04 08:23:06,996 | root     | list index out of range
ERROR   | 2021-12-04 08:23:06,997 | root     | got an error while analyzing hol_append
ERROR   | 2021-12-04 08:23:17,189 | root     | b'out of memory'
ERROR   | 2021-12-04 08:23:17,189 | root     | got an error while analyzing space
ERROR   | 2021-12-04 08:23:22,245 | root     | b'out of memory'
ERROR   | 2021-12-04 08:23:22,245 | root     | got an error while analyzing arg
ERROR   | 2021-12-04 08:23:27,780 | root     | list index out of range
ERROR   | 2021-12-04 08:23:27,781 | root     | got an error while analyzing filter_doc
ERROR   | 2021-12-04 08:23:33,342 | root     | b'out of memory'
ERROR   | 2021-12-04 08:23:33,342 | root     | got an error while analyzing print_header
ERROR   | 2021-12-04 08:23:38,946 | root     | list index out of range
ERROR   | 2021-12-04 08:23:38,946 | root     | got an error while analyzing comma
ERROR   | 2021-12-04 08:23:44,568 | root     | b'out of memory'
ERROR   | 2021-12-04 08:23:44,568 | root     | got an error while analyzing hol_entry_help
ERROR   | 2021-12-04 08:23:50,312 | root     | list index out of range
ERROR   | 2021-12-04 08:23:50,312 | root     | got an error while analyzing hol_help
ERROR   | 2021-12-04 08:25:37,656 | root     | b'out of memory'
ERROR   | 2021-12-04 08:25:37,657 | root     | got an error while analyzing argp_args_usage
ERROR   | 2021-12-04 08:25:39,364 | root     | b'out of memory'
ERROR   | 2021-12-04 08:25:39,364 | root     | got an error while analyzing argp_doc
ERROR   | 2021-12-04 08:25:42,851 | root     | b'out of memory'
ERROR   | 2021-12-04 08:25:42,852 | root     | got an error while analyzing argp_state_help
ERROR   | 2021-12-04 08:25:44,777 | root     | b'out of memory'
ERROR   | 2021-12-04 08:25:44,777 | root     | got an error while analyzing argp_error
ERROR   | 2021-12-04 08:27:01,259 | root     | list index out of range
ERROR   | 2021-12-04 08:27:01,260 | root     | got an error while analyzing convert_options
ERROR   | 2021-12-04 08:27:02,933 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:02,933 | root     | got an error while analyzing parser_convert
ERROR   | 2021-12-04 08:27:04,550 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:04,550 | root     | got an error while analyzing calc_sizes
ERROR   | 2021-12-04 08:27:37,764 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:37,764 | root     | got an error while analyzing parser_parse_next
ERROR   | 2021-12-04 08:27:46,491 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:46,491 | root     | got an error while analyzing bitset_set
ERROR   | 2021-12-04 08:27:48,184 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:48,184 | root     | got an error while analyzing bitset_clear
ERROR   | 2021-12-04 08:27:49,893 | root     | b'out of memory'
ERROR   | 2021-12-04 08:27:49,893 | root     | got an error while analyzing bitset_contain
ERROR   | 2021-12-04 08:29:13,523 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:13,524 | root     | got an error while analyzing re_string_construct
ERROR   | 2021-12-04 08:29:15,158 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:15,158 | root     | got an error while analyzing re_string_realloc_buffers
ERROR   | 2021-12-04 08:29:16,799 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:16,799 | root     | got an error while analyzing re_string_construct_common
ERROR   | 2021-12-04 08:29:18,434 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:18,435 | root     | got an error while analyzing build_wcs_buffer
ERROR   | 2021-12-04 08:29:35,601 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:35,602 | root     | got an error while analyzing build_wcs_upper_buffer
ERROR   | 2021-12-04 08:29:37,252 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:37,252 | root     | got an error while analyzing re_string_skip_chars
ERROR   | 2021-12-04 08:29:38,845 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:38,845 | root     | got an error while analyzing build_upper_buffer
ERROR   | 2021-12-04 08:29:40,454 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:40,454 | root     | got an error while analyzing re_string_translate_buffer
ERROR   | 2021-12-04 08:29:42,066 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:42,067 | root     | got an error while analyzing re_string_reconstruct
ERROR   | 2021-12-04 08:29:43,681 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:43,682 | root     | got an error while analyzing re_string_peek_byte_case
ERROR   | 2021-12-04 08:29:45,294 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:45,294 | root     | got an error while analyzing re_string_fetch_byte_case
ERROR   | 2021-12-04 08:29:46,910 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:46,911 | root     | got an error while analyzing re_string_destruct
ERROR   | 2021-12-04 08:29:50,207 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:50,207 | root     | got an error while analyzing re_node_set_alloc
ERROR   | 2021-12-04 08:29:51,822 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:51,822 | root     | got an error while analyzing re_node_set_init_1
ERROR   | 2021-12-04 08:29:53,444 | root     | b'out of memory'
ERROR   | 2021-12-04 08:29:53,444 | root     | got an error while analyzing re_node_set_init_2
ERROR   | 2021-12-04 08:30:15,501 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:15,501 | root     | got an error while analyzing re_node_set_insert
ERROR   | 2021-12-04 08:30:17,174 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:17,174 | root     | got an error while analyzing re_node_set_insert_last
ERROR   | 2021-12-04 08:30:20,621 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:20,621 | root     | got an error while analyzing re_node_set_contains
ERROR   | 2021-12-04 08:30:22,292 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:22,292 | root     | got an error while analyzing re_node_set_remove_at
ERROR   | 2021-12-04 08:30:23,963 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:23,964 | root     | got an error while analyzing re_dfa_add_node
ERROR   | 2021-12-04 08:30:25,631 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:25,631 | root     | got an error while analyzing calc_state_hash
ERROR   | 2021-12-04 08:30:27,305 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:27,305 | root     | got an error while analyzing re_acquire_state
ERROR   | 2021-12-04 08:30:28,984 | root     | b'out of memory'
ERROR   | 2021-12-04 08:30:28,984 | root     | got an error while analyzing re_acquire_state_context
ASSERTION VIOLATION
File: ../src/ast/shared_occs.cpp
Line: 119
UNEXPECTED CODE WAS REACHED.
Z3 4.8.13.0
Please file an issue with this message and more detail about how you encountered it at https://github.com/Z3Prover/z3/issues/new
