WARNING | 2021-12-02 15:00:54,586 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_acpi_power_state_rs
WARNING | 2021-12-02 15:00:54,588 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sdr_repository_time_rs
WARNING | 2021-12-02 15:00:54,588 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_warm_reset_rs
WARNING | 2021-12-02 15:00:54,588 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sel_time_utc_offset_rs
WARNING | 2021-12-02 15:00:54,588 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_bt_interface_capabilities_rs
WARNING | 2021-12-02 15:00:54,588 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_interface_capabilities_ssif_rs
WARNING | 2021-12-02 15:00:54,592 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 15:11:46,621 | root     | b'out of memory'
ERROR   | 2021-12-02 15:11:46,622 | root     | got an error while analyzing cmdline_parse
ERROR   | 2021-12-02 15:18:24,345 | root     | b'out of memory'
ERROR   | 2021-12-02 15:18:24,348 | root     | got an error while analyzing verify_common_cmd_args_outofband
ERROR   | 2021-12-02 15:18:37,101 | root     | b'out of memory'
ERROR   | 2021-12-02 15:18:37,107 | root     | got an error while analyzing verify_common_cmd_args
ERROR   | 2021-12-02 15:22:12,017 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:12,017 | root     | got an error while analyzing sdr_cache_flush_cache
ERROR   | 2021-12-02 15:22:15,304 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:15,304 | root     | got an error while analyzing check_kg_len
ERROR   | 2021-12-02 15:22:15,930 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:15,930 | root     | got an error while analyzing format_kg
ERROR   | 2021-12-02 15:22:17,063 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:17,063 | root     | got an error while analyzing get_timestamp_flags
ERROR   | 2021-12-02 15:22:18,590 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:18,590 | root     | got an error while analyzing cbuf_destroy
ERROR   | 2021-12-02 15:22:19,367 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:19,367 | root     | got an error while analyzing cbuf_flush
ERROR   | 2021-12-02 15:22:20,271 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:20,271 | root     | got an error while analyzing cbuf_size
ERROR   | 2021-12-02 15:22:21,637 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:21,637 | root     | got an error while analyzing cbuf_free
ERROR   | 2021-12-02 15:22:22,881 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:22,881 | root     | got an error while analyzing cbuf_used
ERROR   | 2021-12-02 15:22:47,311 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:47,313 | root     | got an error while analyzing cbuf_peek
ERROR   | 2021-12-02 15:22:57,031 | root     | b'out of memory'
ERROR   | 2021-12-02 15:22:57,130 | root     | got an error while analyzing cbuf_read
ERROR   | 2021-12-02 15:30:17,183 | root     | b'out of memory'
ERROR   | 2021-12-02 15:30:17,188 | root     | got an error while analyzing cbuf_write_line
ERROR   | 2021-12-02 16:19:21,021 | root     | b'out of memory'
ERROR   | 2021-12-02 16:19:21,025 | root     | got an error while analyzing cbuf_get_fd
ERROR   | 2021-12-02 16:20:09,385 | root     | b'out of memory'
ERROR   | 2021-12-02 16:20:09,387 | root     | got an error while analyzing cbuf_get_mem
Killed
