WARNING | 2021-12-02 02:24:46,026 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ospeed
ERROR   | 2021-12-02 02:53:42,075 | root     | got an error while analyzing ChangeAKA
ERROR   | 2021-12-02 02:53:56,792 | root     | b'out of memory'
ERROR   | 2021-12-02 02:53:56,793 | root     | got an error while analyzing MFixLine
ERROR   | 2021-12-02 02:54:14,269 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:14,269 | root     | got an error while analyzing MInsChar
ERROR   | 2021-12-02 02:54:17,562 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:17,563 | root     | got an error while analyzing MPutChar
ERROR   | 2021-12-02 02:54:21,628 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:21,628 | root     | got an error while analyzing MWrapChar
ERROR   | 2021-12-02 02:54:27,819 | root     | list index out of range
ERROR   | 2021-12-02 02:54:27,819 | root     | got an error while analyzing MBceLine
ERROR   | 2021-12-02 02:54:30,796 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:30,796 | root     | got an error while analyzing WAddLineToHist
ERROR   | 2021-12-02 02:54:33,796 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:33,796 | root     | got an error while analyzing MFindUsedLine
ERROR   | 2021-12-02 02:54:37,653 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:37,653 | root     | got an error while analyzing WBell
ERROR   | 2021-12-02 02:54:40,711 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:40,711 | root     | got an error while analyzing WReverseVideo
ERROR   | 2021-12-02 02:54:46,737 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:46,737 | root     | got an error while analyzing WChangeSize
ERROR   | 2021-12-02 02:54:50,584 | root     | b'out of memory'
ERROR   | 2021-12-02 02:54:50,584 | root     | got an error while analyzing WindowChangedCheck
ERROR   | 2021-12-02 03:00:33,458 | root     | list index out of range
ERROR   | 2021-12-02 03:00:33,458 | root     | got an error while analyzing KillBuffers
ERROR   | 2021-12-02 03:01:02,829 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:02,829 | root     | got an error while analyzing nextchar
ERROR   | 2021-12-02 03:01:05,899 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:05,899 | root     | got an error while analyzing nextword
ERROR   | 2021-12-02 03:01:25,184 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:25,184 | root     | got an error while analyzing MarkProcess
ERROR   | 2021-12-02 03:01:37,738 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:37,738 | root     | got an error while analyzing MarkAbort
ERROR   | 2021-12-02 03:01:43,943 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:43,943 | root     | got an error while analyzing MarkRewrite
ERROR   | 2021-12-02 03:01:54,343 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:54,343 | root     | got an error while analyzing MakePaster
ERROR   | 2021-12-02 03:01:57,395 | root     | b'out of memory'
ERROR   | 2021-12-02 03:01:57,395 | root     | got an error while analyzing FreePaster
ERROR   | 2021-12-02 03:02:03,862 | root     | list index out of range
ERROR   | 2021-12-02 03:02:03,862 | root     | got an error while analyzing SaveStrn
ERROR   | 2021-12-02 03:02:07,805 | root     | b'out of memory'
ERROR   | 2021-12-02 03:02:07,805 | root     | got an error while analyzing InStr
ERROR   | 2021-12-02 03:03:37,920 | root     | b'out of memory'
ERROR   | 2021-12-02 03:03:37,920 | root     | got an error while analyzing ResizeLayer
ERROR   | 2021-12-02 03:03:40,943 | root     | b'out of memory'
ERROR   | 2021-12-02 03:03:40,944 | root     | got an error while analyzing FreeMline
ERROR   | 2021-12-02 03:03:43,972 | root     | b'out of memory'
ERROR   | 2021-12-02 03:03:43,972 | root     | got an error while analyzing AllocMline
ERROR   | 2021-12-02 03:03:46,980 | root     | b'out of memory'
ERROR   | 2021-12-02 03:03:46,980 | root     | got an error while analyzing BcopyMline
ERROR   | 2021-12-02 03:04:06,015 | root     | list index out of range
ERROR   | 2021-12-02 03:04:06,015 | root     | got an error while analyzing ChangeWindowSize
ERROR   | 2021-12-02 03:04:10,145 | root     | b'out of memory'
ERROR   | 2021-12-02 03:04:10,145 | root     | got an error while analyzing FreeAltScreen
ERROR   | 2021-12-02 03:04:13,164 | root     | b'out of memory'
ERROR   | 2021-12-02 03:04:13,164 | root     | got an error while analyzing SwapAltScreen
ERROR   | 2021-12-02 03:04:16,080 | root     | b'out of memory'
ERROR   | 2021-12-02 03:04:16,080 | root     | got an error while analyzing EnterAltScreen
ERROR   | 2021-12-02 03:04:18,969 | root     | b'out of memory'
ERROR   | 2021-12-02 03:04:18,969 | root     | got an error while analyzing LeaveAltScreen
ERROR   | 2021-12-02 03:04:24,498 | root     | list index out of range
ERROR   | 2021-12-02 03:04:24,498 | root     | got an error while analyzing FindSocket
ERROR   | 2021-12-02 03:05:22,296 | root     | b'out of memory'
ERROR   | 2021-12-02 03:05:22,299 | root     | got an error while analyzing ExecCreate
ERROR   | 2021-12-02 03:05:29,185 | root     | b'out of memory'
ERROR   | 2021-12-02 03:05:29,188 | root     | got an error while analyzing CreateTempDisplay
ERROR   | 2021-12-02 03:05:54,208 | root     | b'out of memory'
ERROR   | 2021-12-02 03:05:54,209 | root     | got an error while analyzing FinishAttach
ERROR   | 2021-12-02 03:05:57,655 | root     | b'out of memory'
ERROR   | 2021-12-02 03:05:57,655 | root     | got an error while analyzing FinishDetach
ERROR   | 2021-12-02 03:06:01,844 | root     | list index out of range
ERROR   | 2021-12-02 03:06:01,844 | root     | got an error while analyzing AskPassword
ERROR   | 2021-12-02 03:06:04,927 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:04,927 | root     | got an error while analyzing PasswordProcessInput
ERROR   | 2021-12-02 03:06:07,961 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:07,961 | root     | got an error while analyzing strncpy_escape_quote
ERROR   | 2021-12-02 03:06:11,028 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:11,028 | root     | got an error while analyzing DoCommandMsg
ERROR   | 2021-12-02 03:06:24,553 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:24,553 | root     | got an error while analyzing searchend
ERROR   | 2021-12-02 03:06:27,500 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:27,500 | root     | got an error while analyzing backsearchend
ERROR   | 2021-12-02 03:06:30,586 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:30,586 | root     | got an error while analyzing matchword
ERROR   | 2021-12-02 03:06:34,693 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:34,694 | root     | got an error while analyzing is_bm
ERROR   | 2021-12-02 03:06:40,865 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:40,865 | root     | got an error while analyzing is_redo
ERROR   | 2021-12-02 03:06:43,898 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:43,898 | root     | got an error while analyzing ISearch
ERROR   | 2021-12-02 03:06:54,285 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:54,285 | root     | got an error while analyzing InitTTY
ERROR   | 2021-12-02 03:06:57,326 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:57,326 | root     | got an error while analyzing SetTTY
ERROR   | 2021-12-02 03:07:00,356 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:00,356 | root     | got an error while analyzing GetTTY
ERROR   | 2021-12-02 03:07:04,408 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:04,408 | root     | got an error while analyzing SetMode
ERROR   | 2021-12-02 03:07:24,524 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:24,524 | root     | got an error while analyzing SendBreak
ERROR   | 2021-12-02 03:07:55,837 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:55,837 | root     | got an error while analyzing nwin_compose
ERROR   | 2021-12-02 03:07:59,867 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:59,868 | root     | got an error while analyzing DoAutolf
ERROR   | 2021-12-02 03:08:02,952 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:02,952 | root     | got an error while analyzing WinProcess
ERROR   | 2021-12-02 03:08:05,959 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:05,959 | root     | got an error while analyzing ZombieProcess
ERROR   | 2021-12-02 03:08:13,500 | root     | list index out of range
ERROR   | 2021-12-02 03:08:13,500 | root     | got an error while analyzing WinRewrite
ERROR   | 2021-12-02 03:08:16,495 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:16,495 | root     | got an error while analyzing WinClearLine
ERROR   | 2021-12-02 03:08:19,401 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:19,401 | root     | got an error while analyzing WinResize
ERROR   | 2021-12-02 03:08:31,062 | root     | list index out of range
ERROR   | 2021-12-02 03:08:31,062 | root     | got an error while analyzing MakeWindow
ERROR   | 2021-12-02 03:08:37,201 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:37,201 | root     | got an error while analyzing CloseDevice
ERROR   | 2021-12-02 03:08:40,252 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:40,252 | root     | got an error while analyzing FreeWindow
ERROR   | 2021-12-02 03:08:43,305 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:43,305 | root     | got an error while analyzing OpenDevice
ERROR   | 2021-12-02 03:08:47,321 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:47,322 | root     | got an error while analyzing ForkWindow
ERROR   | 2021-12-02 03:08:53,408 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:53,409 | root     | got an error while analyzing FreePseudowin
ERROR   | 2021-12-02 03:08:56,466 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:56,466 | root     | got an error while analyzing ReleaseAutoWritelock
ERROR   | 2021-12-02 03:09:00,427 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:00,427 | root     | got an error while analyzing ObtainAutoWritelock
ERROR   | 2021-12-02 03:09:03,501 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:03,501 | root     | got an error while analyzing paste_slowev_fn
ERROR   | 2021-12-02 03:09:06,576 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:06,576 | root     | got an error while analyzing muchpending
ERROR   | 2021-12-02 03:09:09,668 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:09,668 | root     | got an error while analyzing win_readev_fn
ERROR   | 2021-12-02 03:09:12,730 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:12,730 | root     | got an error while analyzing win_resurrect_zombie_fn
ERROR   | 2021-12-02 03:09:16,706 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:16,706 | root     | got an error while analyzing win_writeev_fn
ERROR   | 2021-12-02 03:09:19,609 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:19,609 | root     | got an error while analyzing pseu_readev_fn
ERROR   | 2021-12-02 03:09:22,542 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:22,542 | root     | got an error while analyzing pseu_writeev_fn
ERROR   | 2021-12-02 03:09:28,337 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:28,338 | root     | got an error while analyzing win_destroyev_fn
ERROR   | 2021-12-02 03:09:32,560 | root     | list index out of range
ERROR   | 2021-12-02 03:09:32,560 | root     | got an error while analyzing zmodem_parse
ERROR   | 2021-12-02 03:09:39,122 | root     | list index out of range
ERROR   | 2021-12-02 03:09:39,122 | root     | got an error while analyzing zmodem_found
ERROR   | 2021-12-02 03:10:09,552 | root     | b'out of memory'
ERROR   | 2021-12-02 03:10:09,553 | root     | got an error while analyzing SetUtmp
ERROR   | 2021-12-02 03:10:12,613 | root     | b'out of memory'
ERROR   | 2021-12-02 03:10:12,613 | root     | got an error while analyzing RemoveUtmp
ERROR   | 2021-12-02 03:10:21,282 | root     | b'out of memory'
ERROR   | 2021-12-02 03:10:21,283 | root     | got an error while analyzing makedead
ERROR   | 2021-12-02 03:10:25,436 | root     | b'out of memory'
ERROR   | 2021-12-02 03:10:25,437 | root     | got an error while analyzing makeuser
ERROR   | 2021-12-02 03:11:13,015 | root     | list index out of range
ERROR   | 2021-12-02 03:11:13,015 | root     | got an error while analyzing xpututline
ERROR   | 2021-12-02 03:11:26,528 | root     | list index out of range
ERROR   | 2021-12-02 03:11:26,528 | root     | got an error while analyzing exit_with_usage
ERROR   | 2021-12-02 03:11:34,127 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:34,127 | root     | got an error while analyzing HelpProcess
ERROR   | 2021-12-02 03:11:37,425 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:37,425 | root     | got an error while analyzing HelpAbort
ERROR   | 2021-12-02 03:11:40,703 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:40,703 | root     | got an error while analyzing helppage
ERROR   | 2021-12-02 03:11:55,161 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:55,161 | root     | got an error while analyzing CopyrightProcess
ERROR   | 2021-12-02 03:11:58,209 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:58,209 | root     | got an error while analyzing CopyrightAbort
ERROR   | 2021-12-02 03:12:07,051 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:07,051 | root     | got an error while analyzing copypage
ERROR   | 2021-12-02 03:12:16,889 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:16,889 | root     | got an error while analyzing BindkeyAbort
ERROR   | 2021-12-02 03:12:21,057 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:21,057 | root     | got an error while analyzing bindkeypage
ERROR   | 2021-12-02 03:12:24,069 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:24,069 | root     | got an error while analyzing BindkeyProcess
Killed
