ERROR   | 2021-12-02 02:57:34,517 | root     | argument 3: <class 'RecursionError'>: maximum recursion depth exceeded while calling a Python object
ERROR   | 2021-12-02 03:08:40,579 | root     | got an error while analyzing hol_sort
ERROR   | 2021-12-02 03:08:41,908 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:41,909 | root     | got an error while analyzing hol_append
ERROR   | 2021-12-02 03:08:45,456 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:45,456 | root     | got an error while analyzing space
ERROR   | 2021-12-02 03:08:46,774 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:46,774 | root     | got an error while analyzing arg
ERROR   | 2021-12-02 03:08:48,594 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:48,594 | root     | got an error while analyzing filter_doc
ERROR   | 2021-12-02 03:08:49,907 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:49,907 | root     | got an error while analyzing print_header
ERROR   | 2021-12-02 03:08:51,226 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:51,226 | root     | got an error while analyzing comma
ERROR   | 2021-12-02 03:08:52,549 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:52,549 | root     | got an error while analyzing hol_entry_help
ERROR   | 2021-12-02 03:08:53,885 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:53,886 | root     | got an error while analyzing hol_help
ERROR   | 2021-12-02 03:08:55,214 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:55,215 | root     | got an error while analyzing add_argless_short_opt
ERROR   | 2021-12-02 03:08:56,554 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:56,555 | root     | got an error while analyzing usage_argful_short_opt
ERROR   | 2021-12-02 03:08:57,901 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:57,901 | root     | got an error while analyzing usage_long_opt
ERROR   | 2021-12-02 03:08:59,244 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:59,245 | root     | got an error while analyzing hol_usage
ERROR   | 2021-12-02 03:09:00,582 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:00,582 | root     | got an error while analyzing argp_hol
ERROR   | 2021-12-02 03:09:01,900 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:01,900 | root     | got an error while analyzing argp_args_levels
ERROR   | 2021-12-02 03:09:03,244 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:03,244 | root     | got an error while analyzing argp_args_usage
ERROR   | 2021-12-02 03:09:04,611 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:04,612 | root     | got an error while analyzing argp_doc
ERROR   | 2021-12-02 03:09:08,235 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:08,235 | root     | got an error while analyzing argp_state_help
ERROR   | 2021-12-02 03:09:10,965 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:10,966 | root     | got an error while analyzing argp_error
ERROR   | 2021-12-02 03:09:13,677 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:13,677 | root     | got an error while analyzing argp_failure
ERROR   | 2021-12-02 03:09:15,006 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:15,007 | root     | got an error while analyzing exchange
ERROR   | 2021-12-02 03:09:16,378 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:16,379 | root     | got an error while analyzing process_long_option
ERROR   | 2021-12-02 03:09:20,652 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:20,652 | root     | got an error while analyzing argp_make_fmtstream
ERROR   | 2021-12-02 03:09:22,006 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:22,006 | root     | got an error while analyzing argp_fmtstream_free
ERROR   | 2021-12-02 03:09:24,621 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:24,621 | root     | got an error while analyzing argp_fmtstream_printf
ERROR   | 2021-12-02 03:09:25,954 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:25,954 | root     | got an error while analyzing argp_fmtstream_write
ERROR   | 2021-12-02 03:09:29,526 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:29,527 | root     | got an error while analyzing argp_fmtstream_putc
ERROR   | 2021-12-02 03:09:30,872 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:30,873 | root     | got an error while analyzing argp_fmtstream_set_lmargin
ERROR   | 2021-12-02 03:09:32,217 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:32,217 | root     | got an error while analyzing argp_fmtstream_set_rmargin
ERROR   | 2021-12-02 03:09:33,572 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:33,572 | root     | got an error while analyzing argp_fmtstream_set_wmargin
ERROR   | 2021-12-02 03:09:34,908 | root     | b'out of memory'
ERROR   | 2021-12-02 03:09:34,908 | root     | got an error while analyzing argp_fmtstream_point
